Date,Open_Bitcoin,High_Bitcoin,Low_Bitcoin,Close_Bitcoin,Adj Close_Bitcoin,Volume_Bitcoin,Open_Gold,High_Gold,Low_Gold,Close_Gold,Adj Close_Gold,Volume_Gold,Open_dollar,High_dollar,Low_dollar,Close_dollar,Adj Close_dollar,Volume_dollar,Open_sap500,High_sap500,Low_sap500,Close_sap500,Adj Close_sap500,Volume_sap500,Open_Litcoin,High_Litcoin,Low_Litcoin,Close_Litcoin,Adj Close_Litcoin,Volume_Litcoin,Open_Etherium,High_Etherium,Low_Etherium,Close_Etherium,Adj Close_Etherium,Volume_Etherium
2016-06-07,585.445007,590.258972,567.513977,576.596985,576.596985,107770000.0,1244.0,1244.900024,1236.5,1244.400024,1244.400024,281.0,94.010002,94.089996,93.75,93.83000200000001,93.83000200000001,0.0,2110.18,2119.22,2110.18,2112.13,2112.13,3534730000,4.95482,4.98021,4.7225,4.77078,4.77078,3881380.0,13.9453,14.512,13.8146,14.512,14.512,21421600.0
2016-06-08,577.1669919999999,582.838989,573.130005,581.64502,581.64502,80265800.0,1247.599976,1264.0,1247.300049,1259.800049,1259.800049,406.0,93.860001,93.870003,93.43,93.589996,93.589996,0.0,2112.71,2120.55,2112.71,2119.12,2119.12,3562060000,4.774290000000001,4.78693,4.68962,4.74817,4.74817,3507640.0,14.5079,14.7796,14.2752,14.4177,14.4177,16941800.0
2016-06-09,582.2030030000001,582.2030030000001,570.9509889999999,574.630005,574.630005,71301000.0,1262.5,1271.400024,1258.099976,1270.199951,1270.199951,381.0,93.550003,94.120003,93.43,94.099998,94.099998,0.0,2115.65,2117.64,2107.73,2115.48,2115.48,3290320000,4.777880000000001,4.77934,4.67478,4.6931199999999995,4.6931199999999995,6438540.0,14.4306,14.5672,14.3402,14.3986,14.3986,8256830.0
2016-06-10,575.836975,579.1270139999999,573.325012,577.469971,577.469971,66991900.0,1267.599976,1278.0,1265.300049,1273.400024,1273.400024,397.0,94.089996,94.709999,94.050003,94.599998,94.599998,0.0,2109.57,2109.57,2089.96,2096.07,2096.07,3515010000,4.752,4.84952,4.71315,4.84,4.84,6975970.0,14.3759,14.4318,13.8207,13.9086,13.9086,11312900.0
2016-06-13,671.653992,716.0040280000001,664.487,704.3759769999999,704.3759769999999,243295008.0,1276.199951,1287.300049,1273.0,1284.400024,1284.400024,328.0,94.639999,94.75,94.239998,94.370003,94.370003,0.0,2091.75,2098.12,2078.46,2079.06,2079.06,3392030000,5.41465,5.541530000000001,5.1586300000000005,5.2903199999999995,5.2903199999999995,8668280.0,15.7723,17.644199,15.7196,17.602698999999998,17.602698999999998,38023400.0
2016-06-14,704.5040280000001,704.5040280000001,662.804016,685.559021,685.559021,186694000.0,1281.800049,1289.699951,1277.800049,1285.599976,1285.599976,554.0,94.360001,95.029999,94.32,94.93,94.93,0.0,2076.65,2081.3,2064.1,2075.32,2075.32,3759770000,5.30518,5.30693,5.09736,5.20402,5.20402,8488220.0,17.612801,19.2735,17.298599,18.8932,18.8932,64412200.0
2016-06-15,685.6849980000001,696.302979,672.560974,694.4689940000001,694.4689940000001,99223800.0,1284.599976,1296.199951,1278.800049,1285.800049,1285.800049,162.0,94.910004,95.040001,94.360001,94.610001,94.610001,0.0,2077.6,2085.65,2069.8,2071.5,2071.5,3544720000,5.2231,5.242030000000001,5.10873,5.2397800000000005,5.2397800000000005,3917000.0,18.9053,18.9053,17.709498999999997,18.3543,18.3543,19393400.0
2016-06-16,696.52301,773.721985,696.52301,766.307983,766.307983,271633984.0,1296.300049,1316.400024,1281.099976,1296.099976,1296.099976,251.0,94.599998,95.32,94.209999,94.57,94.57,0.0,2066.36,2079.62,2050.37,2077.99,2077.99,3628280000,5.25305,5.66079,5.25305,5.66079,5.66079,9930590.0,18.362801,20.8297,18.362801,20.5886,20.5886,38531000.0
2016-06-17,768.487,775.356018,716.55603,748.908997,748.908997,363320992.0,1280.300049,1300.099976,1280.300049,1292.5,1292.5,129.0,94.57,94.589996,94.07,94.209999,94.209999,0.0,2078.2,2078.2,2062.84,2071.22,2071.22,4952630000,5.67243,5.94637,5.28094,5.5932699999999995,5.5932699999999995,12383200.0,20.6509,21.522699,13.5676,15.3768,15.3768,199408000.0
2016-06-20,763.9270019999999,764.083984,732.72699,737.226013,737.226013,174511008.0,1288.900024,1291.199951,1280.300049,1290.0,1290.0,153.0,93.779999,93.779999,93.449997,93.610001,93.610001,0.0,2075.58,2100.66,2075.58,2083.25,2083.25,3467440000,5.62519,5.62519,5.2692,5.2945400000000005,5.2945400000000005,4154880.0,12.2369,12.4483,10.5247,11.8395,11.8395,58143600.0
